Date,Round Steak,Ground Beef,Pork Chops,Chicken,Bacon,Milk,Cheese,Eggs,Bread,Macaroni,Flour,Apples,Bananas,Potatoes,Sugar
1/1/1996,3.195674885,1.241103226,2.970019753,1.270969347,1.104689443,3.697417514,3.437922306,1.192479333,0.634194162,0.650417734,0.451310264,0.726742264,0.394896481,0.190258249,0.331845782
2/1/1996,3.281953648,1.235675319,2.975506169,1.255446125,1.115086194,3.699035113,3.453300626,1.191362448,0.639500116,0.6458463,0.453410464,0.744700326,0.421777176,0.185259766,0.329513419
3/1/1996,3.135974476,1.236488879,2.960280345,1.306103534,1.136419639,3.721317557,3.500622671,1.220463535,0.643352371,0.656366751,0.456141742,0.755816258,0.477357637,0.186375744,0.336470834
4/1/1996,3.27783083,1.243201431,2.977747726,1.299260912,1.134100923,3.701821729,3.495473521,1.2067997,0.630211159,0.666118539,0.457709174,0.738666102,0.441880615,0.188330544,0.338005694
5/1/1996,3.174600948,1.207335283,3.043011271,1.269840379,1.167655309,3.692981885,3.473967462,1.211170414,0.628706233,0.677686834,0.457932075,0.750061157,0.440825417,0.203963999,0.338843417
6/1/1996,3.160611899,1.188914113,3.258869264,1.303547706,1.252766959,3.676708563,3.406255311,1.220274445,0.630788021,0.674700571,0.474255547,0.76968269,0.415956177,0.251829987,0.338987908
7/1/1996,3.049937088,1.168269893,3.03684723,1.338438057,1.29138267,3.673586902,3.429542992,1.240881671,0.635100554,0.674127726,0.481706802,0.78866399,0.41887548,0.291612964,0.33542763
8/1/1996,3.069922714,1.166374051,3.16493633,1.349848621,1.321800449,3.677927807,3.420490196,1.21345615,0.635851023,0.668371647,0.491449741,0.871504207,0.402988787,0.236623949,0.33582399
9/1/1996,3.068991579,1.182154482,3.095334854,1.429122688,1.459159597,3.724123748,3.464140709,1.263153084,0.6537035,0.671753522,0.49657074,0.866035177,0.355634217,0.189525231,0.345755489
10/1/1996,3.159239029,1.203361771,3.109513336,1.438730051,1.450698128,3.804702496,3.527209158,1.286261312,0.677742779,0.66300924,0.502561004,0.779035857,0.394490498,0.173119079,0.348079851
