Year,Number of Farms,Number of Cows,Total Production (in gallons),Production Value,Operating Costs (USD),Cost Percentage of Production,Total Profits (USD),Profits/gallon,Profits/farm,Profits/cow,Price,Production per Capita,Population
2000,18520,1103400,1975443134,3301899246,2462465378,0.745772416,839433867.2,0.424934463,45325.80276,760.7702258,3.805835212,64.37660548,30685730
2001,18040,1091000,2019966815,3331354291,2524384924,0.757765372,806969367.6,0.399496349,44732.22659,739.660282,3.807208639,65.11695697,31020596
2002,17065,1083900,1993314581,3251389292,2490823050,0.766079613,760566241.2,0.38155856,44568.78062,701.6941057,3.888100582,63.56553385,31358418
2003,16170,1065500,1992561321,3722045054,2870531791,0.771224354,851513263,0.427346077,52660.06574,799.1677738,4.516141995,62.97277735,31641630
2004,15600,1054900,2024753638,4078665000,3142400859,0.770448384,936264141.2,0.462408919,60016.93213,887.5382891,4.99147057,63.39637374,31938004
2005,14950,1041400,1995995900,4637681919,3479122027,0.750185564,1158559892,0.58044202,77495.64497,1112.502297,5.594815705,61.90600354,32242364
2006,14295,1019100,1961064939,5079896368,3871631023,0.762147639,1208265345,0.616127146,84523.63377,1185.620003,6.249131537,60.20984136,32570505
2007,13950,997500,2004845478,5685922889,4350358506,0.76511036,1335564383,0.66616824,95739.38227,1338.911662,6.973227689,60.95992055,32887928
2008,13550,984700,2005754863,5959142707,4643776335,0.779269194,1315366372,0.655796178,97075.00904,1335.804176,7.438505503,60.33112429,33245773
2009,13220,965600,2024292341,5720478191,4497554549,0.786220032,1222923642,0.604124028,92505.57051,1266.49093,7.285192226,60.19560989,33628571
2010,12390,966200,2027032095,6447335952,4870062321,0.755360409,1577273631,0.778119713,127302.1494,1632.450457,8.24324901,59.60934457,34005274
2011,12430,965600,2054494492,7123683161,5357936087,0.752130038,1765747074,0.859455735,142055.2754,1828.652728,8.906301712,59.82318531,34342780
2012,12275,958400,2108126691,7278998416,5588148997,0.767708506,1690849419,0.802062526,137747.4069,1764.241882,9.111032867,60.66456486,34750545
2013,12010,960500,2065771307,7033458048,5453726821,0.775397647,1579731227,0.764717382,131534.6567,1644.696748,8.989179475,58.76620288,35152370
2014,11620,959300,2067406215,6788155298,5172340207,0.761965509,1615815091,0.781566331,139054.655,1684.368905,8.513601945,58.17886503,35535348
