ID,RoundSteak,GroundBeef,PorkChops,Chicken,Bacon,WholeMilk,Cheese,Eggs,Bread,Macaroni,Flour,Apples,Bananas,Potatoes,Sugar,
Date,1 lb,1 lb,1 lb,1 lb,1 lb,1 gallon,1 lb,1 dozen,1 lb,1 lb,1 lb,1 lb,1 lb,1 lb,1 lb,
Jan-96,4.368168,1.696464,4.05972,1.737288,2.739744001,5.054,4.699296,1.63,0.86688,0.889056,0.616896,0.993384,0.539784,0.260064,0.4536,
Feb-96,4.517856,1.701,4.096008,1.728216,2.785103999,5.092,4.753728,1.64,0.88032,0.889056,0.6241536,1.025136,0.580608,0.255024,0.4536,
Mar-96,4.291056,1.691928,4.050648,1.787184,2.821392,5.092,4.790016,1.67,0.88032,0.898128,0.6241536,1.034208,0.653184,0.255024,0.460404,
Apr-96,4.508784,1.710072,4.096008,1.787184,2.830464001,5.092,4.80816,1.66,0.86688,0.916272,0.6295968,1.016064,0.607824,0.259056,0.46494,
May-96,4.37724,1.664712,4.1958,1.750896,2.921184,5.092,4.790016,1.67,0.86688,0.934416,0.6314112,1.034208,0.607824,0.281232,0.467208,
Jun-96,4.37724,1.646568,4.51332,1.805328,3.147984,5.092,4.71744,1.69,0.8736,0.934416,0.6568128,1.06596,0.576072,0.348768,0.469476,
Jul-96,4.227552,1.619352,4.209408,1.855224,3.247776,5.092,4.753728,1.72,0.88032,0.934416,0.6676992,1.093176,0.580608,0.404208,0.46494,
Aug-96,4.250232,1.614816,4.381776,1.868832,3.320351999,5.092,4.735584,1.68,0.88032,0.925344,0.6804,1.206576,0.557928,0.3276,0.46494,
Sep-96,4.227552,1.628424,4.26384,1.968624,3.646944,5.13,4.771872,1.74,0.90048,0.925344,0.6840288,1.192968,0.489888,0.261072,0.47628,
Oct-96,4.322808,1.646568,4.254768,1.968624,3.601584,5.206,4.826304,1.76,0.92736,0.9072,0.6876576,1.06596,0.539784,0.23688,0.47628,
Nov-96,4.164048,1.687392,4.254768,1.959552,3.438287999,5.206,4.953312,1.73,0.92064,0.916272,0.6876576,0.993384,0.571536,0.234864,0.478548,
Dec-96,4.381776,1.67832,4.26384,1.941408,3.293136,5.206,5.044032,1.79,0.92064,0.870912,0.6876576,1.002456,0.576072,0.232848,0.471744,
Jan-97,4.39992,1.669248,4.413528,1.932336,3.293136,5.244,5.044032,1.78,0.91392,0.879984,0.7003584,1.025136,0.585144,0.230832,0.467208,
Feb-97,4.33188,1.669248,4.232088,1.914192,3.31128,5.244,5.007744,1.76,0.92064,0.879984,0.6749568,1.0206,0.607824,0.230832,0.47628,
Mar-97,4.186728,1.664712,4.28652,1.873368,3.302208,5.282,5.025888,1.74,0.91392,0.9072,0.6695136,0.988848,0.616896,0.23184,0.478548,
Apr-97,4.277448,1.651104,4.368168,1.896048,3.293136,5.244,4.971456,1.75,0.90048,0.889056,0.671328,1.006992,0.539784,0.24192,0.480816,
May-97,4.159512,1.65564,4.549608,1.88244,3.420143999,5.282,4.971456,1.79,0.9072,0.898128,0.6749568,0.979776,0.571536,0.258048,0.49896,
Jun-97,4.186728,1.67832,4.454352,2.009448,3.501792,5.282,4.971456,1.77,0.91392,0.870912,0.6640704,1.011528,0.562464,0.275184,0.494424,
Jul-97,4.24116,1.660176,4.522392,1.900584,3.556223999,5.282,5.007744,1.77,0.91392,0.9072,0.6549984,1.061424,0.585144,0.351792,0.496692,
Aug-97,4.046112,1.705536,4.477032,1.914192,3.556224,5.282,5.044032,1.77,0.91392,0.852768,0.6549984,1.061424,0.553392,0.34776,0.49896,
Sep-97,4.254768,1.646568,4.449816,1.932336,3.574368,5.282,5.044032,1.79,0.90048,0.889056,0.6513696,1.070496,0.485352,0.303408,0.508032,
Oct-97,4.3092,1.705536,4.28652,1.977696,3.510864,5.32,5.062176,1.75,0.89376,0.870912,0.63504,0.984312,0.517104,0.289296,0.528444,
Nov-97,4.204872,1.714608,4.213944,1.977696,3.420144,5.358,5.08032,1.8,0.9072,0.879984,0.6368544,1.016064,0.530712,0.281232,0.53298,
Dec-97,4.481568,1.750896,4.250232,1.909656,3.347568,5.32,5.08032,1.81,0.89376,0.86184,0.6404832,1.0206,0.49896,0.2772,0.537516,
Jan-98,4.327344,1.669248,4.005288,1.936872,3.284064,5.358,5.025888,1.79,0.88704,0.870912,0.6495552,1.034208,0.535248,0.285264,0.54432,
Feb-98,4.372704,1.701,4.027968,1.85976,3.093552001,5.396,4.844448,1.75,0.88032,0.879984,0.6459264,1.034208,0.526176,0.288288,0.542052,
Mar-98,4.21848,1.682856,3.87828,1.864296,3.066335999,5.396,4.880736,1.79,0.86688,0.879984,0.6404832,1.056888,0.508032,0.290304,0.548856,
Apr-98,4.182192,1.673784,3.841992,1.877904,3.002832001,5.396,4.971456,1.8,0.8736,0.870912,0.63504,1.034208,0.557928,0.295344,0.557928,
May-98,4.168584,1.691928,3.737664,1.846152,2.90304,5.434,4.953312,1.81,0.89376,0.889056,0.6332256,1.079568,0.557928,0.328608,0.562464,
Jun-98,4.009824,1.705536,4.0824,1.877904,3.093551999,5.396,4.971456,1.81,0.88032,0.870912,0.6368544,1.124928,0.58968,0.381024,0.560196,
Jul-98,4.10508,1.701,4.132296,1.90512,3.08448,5.396,4.953312,1.79,0.8736,0.879984,0.6314112,1.129464,0.594216,0.41832,0.560196,
Aug-98,4.177656,1.741824,4.086936,1.932336,3.102623999,5.396,4.880736,1.75,0.86688,0.852768,0.63504,1.120392,0.539784,0.343728,0.560196,
Sep-98,4.254768,1.728216,3.964464,1.90512,3.102624,5.434,4.790016,1.79,0.8736,0.879984,0.6314112,1.134,0.49896,0.294336,0.560196,
Oct-98,4.0824,1.72368,3.937248,1.923264,3.03912,5.434,4.826304,1.79,0.88032,0.86184,0.6277824,1.047816,0.512568,0.289296,0.557928,
Nov-98,4.300128,1.741824,3.8556,1.941408,3.002832001,5.434,4.790016,1.79,0.8736,0.86184,0.6314112,1.038744,0.567,0.3024,0.553392,
Dec-98,4.186728,1.74636,3.7422,1.9278,2.893967999,5.434,4.844448,1.8,0.88032,0.870912,0.6241536,1.002456,0.576072,0.308448,0.55566,
Jan-99,4.0824,1.696464,3.601584,1.9278,2.830464,5.434,4.790016,1.79,0.8736,0.86184,0.6404832,1.047816,0.557928,0.311472,0.560196,
Feb-99,4.245696,1.741824,3.724056,1.923264,2.794176,5.434,4.862592,1.79,0.88032,0.870912,0.63504,1.011528,0.571536,0.321552,0.553392,
Mar-99,4.159512,1.759968,3.6288,1.868832,2.884896,5.472,4.862592,1.8,0.86688,0.852768,0.6241536,1.079568,0.539784,0.326592,0.553392,
Apr-99,4.291056,1.76904,3.633336,1.868832,2.839536,5.472,4.790016,1.79,0.8736,0.852768,0.6386688,1.061424,0.562464,0.329616,0.551124,
May-99,4.114152,1.755432,3.714984,1.923264,2.912112,5.472,4.735584,1.78,0.8736,0.870912,0.6386688,1.093176,0.576072,0.338688,0.551124,
Jun-99,4.168584,1.796256,3.728592,1.9278,2.957472,5.472,4.753728,1.74,0.88032,0.889056,0.6422976,1.129464,0.567,0.4032,0.548856,
Jul-99,4.254768,1.76904,3.71952,1.914192,2.9484,5.472,4.80816,1.77,0.88704,0.879984,0.6422976,1.165752,0.535248,0.439488,0.551124,
Aug-99,4.21848,1.76904,3.746736,1.955016,3.057264001,5.472,4.80816,1.74,0.88704,0.879984,0.6386688,1.183896,0.557928,0.401184,0.553392,
Sep-99,4.236624,1.796256,3.751272,1.99584,3.147984001,5.51,4.790016,1.74,0.8736,0.870912,0.6314112,1.15668,0.508032,0.3528,0.553392,
Oct-99,4.209408,1.778112,3.733128,1.900584,3.12984,5.51,4.753728,1.78,0.88704,0.889056,0.6277824,1.115856,0.508032,0.34776,0.557928,
Nov-99,4.213944,1.782648,3.783024,1.941408,3.111695999,5.51,4.771872,1.78,0.89376,0.870912,0.6277824,1.047816,0.526176,0.341712,0.553392,
Dec-99,4.141368,1.805328,3.660552,1.955016,3.093552,5.51,4.499712,1.79,0.89376,0.879984,0.616896,1.08864,0.530712,0.338688,0.551124,
Jan-00,4.10508,1.83708,3.705912,1.982232,3.157056,5.51,4.590432,1.82,0.88704,0.879984,0.598752,1.056888,0.535248,0.334656,0.54432,
Feb-00,4.245696,1.896048,3.710448,1.941408,3.238704,5.586,4.517856,1.82,0.88704,0.86184,0.598752,1.056888,0.571536,0.33768,0.54432,
Mar-00,4.24116,1.909656,3.805704,1.986768,3.392928,5.624,4.463424,1.82,0.89376,0.852768,0.6023808,1.079568,0.562464,0.33768,0.542052,
Apr-00,4.33188,1.97316,3.887352,1.986768,3.420144,5.662,4.44528,1.82,0.89376,0.86184,0.5951232,1.097712,0.567,0.356832,0.537516,
May-00,4.33188,1.964088,4.046112,1.991304,3.610656001,5.662,4.481568,1.86,0.90048,0.834624,0.6114528,1.11132,0.557928,0.39312,0.537516,
Jun-00,4.368168,1.986768,4.123224,1.986768,3.737664001,5.662,4.427136,1.82,0.92064,0.879984,0.607824,1.143072,0.553392,0.42336,0.535248,
Jul-00,4.4226,2.013984,4.1958,2.013984,3.882816,5.662,4.517856,1.87,0.92064,0.852768,0.6223392,1.211112,0.562464,0.492912,0.535248,
Aug-00,4.477032,2.009448,4.200336,2.027592,3.900959999,5.7,4.44528,1.87,0.93408,0.879984,0.625968,1.256472,0.553392,0.4788,0.54432,
Sep-00,4.39992,2.01852,4.168584,1.977696,3.90096,5.662,4.481568,1.89,0.9072,0.889056,0.6132672,1.229256,0.530712,0.387072,0.542052,
Oct-00,4.472496,2.027592,4.141368,2.045736,3.755808,5.7,4.517856,1.87,0.92064,0.889056,0.6096384,1.143072,0.54432,0.360864,0.548856,
