Date,Am,Can
Jan-96,100,100
Feb-96,99.86755,100.1
Mar-96,100.39735,100.2001
Apr-96,100.86093,101.202101
May-96,100.66225,100.6960905
Jun-96,101.0596,101.4009631
Jul-96,101.45695,101.1981612
Aug-96,101.78808,100.8945667
Sep-96,102.38411,100.591883
Oct-96,102.91391,101.2960262
Nov-96,103.24503,102.0050984
Dec-96,103.50993,101.8010882
Jan-97,103.64238,102.3100936
Feb-97,103.64238,102.6170239
Mar-97,103.70861,102.6170239
Apr-97,103.70861,102.2065558
May-97,103.70861,102.615382
Jun-97,103.70861,102.9232282
Jul-97,103.97351,103.3349211
Aug-97,104.37086,102.6115766
Sep-97,104.56954,101.8932956
Oct-97,104.76821,101.8932956
Nov-97,104.96689,102.9122286
Dec-97,105.09934,102.8093163
Jan-98,105.89404,104.5570747
Feb-98,105.56291,103.7206181
Mar-98,105.76159,103.9280594
Apr-98,105.82781,103.7202032
May-98,106.15894,104.135084
Jun-98,106.02649,104.9681647
Jul-98,106.29139,104.6532602
Aug-98,106.62252,104.1299939
Sep-98,106.68874,103.296954
Oct-98,107.28477,103.4002509
Nov-98,107.35099,104.5376537
Dec-98,107.48344,104.5376537
Jan-99,108.34437,105.7921055
Feb-99,108.1457,105.263145
Mar-99,108.1457,105.4736713
Apr-99,108.21192,105.6846186
May-99,108.4106,105.8959879
Jun-99,108.34437,106.2136758
Jul-99,108.47682,106.0012485
Aug-99,108.74172,105.1532385
Sep-99,109.00662,104.4171658
Oct-99,109.33775,104.6260002
Nov-99,109.40397,105.3583822
Dec-99,109.53642,105.5690989
Jan-00,110,105.4635298
Feb-00,110.13245,105.2526028
Mar-00,110.2649,105.6736132
Apr-00,110.33113,105.8849604
May-00,110.7947,106.7320401
Jun-00,110.7947,107.3724323
Jul-00,111.3245,107.9092945
Aug-00,111.72185,107.5855666
Sep-00,111.8543,106.8324676
Oct-00,111.98675,106.6188027
Nov-00,111.8543,107.5783719
Dec-00,112.58278,108.9768908
Jan-01,113.17881,109.1948445
Feb-01,113.44371,110.0684033
Mar-01,113.70861,110.9489505
Apr-01,113.84106,111.2817974
May-01,114.23841,112.1720518
Jun-01,114.56954,112.3963959
Jul-01,114.90066,112.8459814
Aug-01,115.16556,112.0560596
Sep-01,115.29801,111.2716672
Oct-01,115.82781,111.0491238
Nov-01,115.62914,111.6043694
Dec-01,115.69536,112.8320175
Jan-02,116.42384,114.0731697
Feb-02,116.49007,114.7576087
Mar-02,116.62252,114.5280935
Apr-02,116.68874,114.9862059
May-02,116.42384,114.5262611
Jun-02,116.42384,114.9843661
Jul-02,116.55629,114.9843661
Aug-02,116.55629,114.2944599
Sep-02,116.82119,113.2658098
Oct-02,116.88742,112.6994807
Nov-02,117.08609,114.5026724
Dec-02,117.41722,115.3041911
Jan-03,117.54967,116.2266246
Feb-03,118.07947,116.110398
Mar-03,118.27815,116.3426188
Apr-03,118.1457,116.4589614
May-03,118.4106,116.8083383
Jun-03,118.9404,117.1587633
Jul-03,119.00662,117.1587633
Aug-03,119.4702,116.1043345
Sep-03,119.66887,115.2916041
Oct-03,120.33113,115.1763125
Nov-03,120.7947,116.3280756
Dec-03,121.5894,117.3750283
Jan-04,121.72185,117.6097784
Feb-04,121.92053,117.3745588
Mar-04,122.11921,117.4919334
Apr-04,122.18543,117.2569495
May-04,123.24503,118.3122621
Jun-04,123.37748,119.4953847
Jul-04,123.70861,119.4953847
Aug-04,123.70861,119.1368985
Sep-04,123.64238,118.6603509
Oct-04,124.43709,119.2536527
Nov-04,124.63576,120.4461892
Dec-04,124.83444,121.0484202
Jan-05,125.23179,120.6852749
Feb-05,125.03311,120.4439043
Mar-05,125.23179,120.92568
Apr-05,125.96026,122.0140111
May-05,126.22517,122.2580391
Jun-05,126.09272,122.7470713
Jul-05,126.35762,122.37883
Aug-05,126.42384,122.2564512
Sep-05,126.75497,121.1561432
Oct-05,127.21854,121.6407677
Nov-05,127.41722,122.2489716
Dec-05,127.74834,123.1047144
Jan-06,128.54305,124.0895521
Feb-06,128.47682,123.841373
Mar-06,128.47682,123.841373
Apr-06,128.27815,123.7175316
May-06,128.60927,124.4598368
Jun-06,128.80795,125.082136
Jul-06,129.13907,125.082136
Aug-06,129.4702,125.082136
Sep-06,129.93377,124.5818074
Oct-06,130.5298,125.0801347
Nov-06,130.33113,126.0807757
Dec-06,130.46358,125.8286142
Jan-07,131.66358,126.9610717
Feb-07,132.45033,128.8654878
Mar-07,132.71722,128.3500258
Apr-07,132.99338,128.3500258
May-07,133.63642,128.7350759
Jun-07,134.06689,128.863811
Jul-07,134.51722,128.4772196
Aug-07,135.02318,127.9633107
Sep-07,135.72252,126.9396042
Oct-07,136.28874,126.685725
Nov-07,136.60728,127.3191536
Dec-07,136.89007,127.8284302
Jan-08,138.15762,128.5954008
Feb-08,138.52053,129.1097824
Mar-08,138.66556,128.8515629
Apr-08,139.80265,129.8823754
May-08,140.43311,131.1811991
Jun-08,141.22053,132.4930111
Jul-08,142.58212,133.2879692
Aug-08,143.32583,133.6878331
Sep-08,144.16954,134.0888966
Oct-08,144.8596,134.4911633
Nov-08,144.86689,136.9120042
Dec-08,144.90397,137.3227402
Jan-09,145.48013,138.2839994
Feb-09,145.16887,138.9754194
Mar-09,144.76821,139.2533702
Apr-09,144.47815,139.3926236
May-09,144.25563,139.6714088
Jun-09,144.19868,139.9507517
Jul-09,143.87881,140.0907024
Aug-09,143.9404,139.1100675
Sep-09,143.85298,137.8580769
Oct-09,144.05695,137.5823607
Nov-09,143.88411,139.2333491
Dec-09,144.13046,139.5118158
Jan-10,144.94967,140.069863
Feb-10,144.88609,140.4900726
Mar-10,145.0543,140.9115428
Apr-10,145.17748,140.6297198
May-10,145.28079,140.7703495
Jun-10,145.17748,140.9111198
Jul-10,145.11325,141.7565865
Aug-10,145.35828,141.4730734
Sep-10,145.83841,140.765708
Oct-10,146.10331,140.4841766
Nov-10,146.10397,141.1865975
Dec-10,146.32185,141.8925305
Jan-11,147.62384,143.0276707
Feb-11,148.21126,143.4567537
Mar-11,149.23841,145.608605
Apr-11,149.76821,145.3173878
May-11,150.31523,146.1892921
Jun-11,150.56954,146.9202386
Jul-11,151.20265,147.6548398
Aug-11,152.02252,147.5071849
Sep-11,152.69735,146.769649
Oct-11,152.99139,146.4761097
Nov-11,152.84106,147.7943947
Dec-11,153.17947,147.9421891
Jan-12,154.08344,148.9777844
Feb-12,153.96424,149.27574
Mar-12,154.16689,148.8279128
Apr-12,154.4596,148.9767407
May-12,154.52914,149.8706011
Jun-12,154.67748,149.8706011
Jul-12,154.72185,150.7698247
Aug-12,155.0702,150.7698247
Sep-12,155.16424,149.1113567
Oct-12,155.54834,149.4095794
Nov-12,155.56026,150.4554464
Dec-12,155.88742,150.1545355
Jan-13,156.51722,150.6049992
Feb-13,156.49073,152.1110491
Mar-13,156.51126,151.5026049
Apr-13,156.84834,151.1995997
May-13,156.63974,151.8043981
Jun-13,156.81589,151.6525937
Jul-13,156.9543,151.9558989
Aug-13,157.22252,152.2598107
Sep-13,157.29934,151.0417322
Oct-13,157.53046,150.7396488
Nov-13,157.37815,151.945566
Dec-13,157.52914,151.6416748
Jan-14,158.19338,152.2482415
Feb-14,158.68079,153.7707239
Mar-14,159.20397,153.9244947
Apr-14,159.82583,154.0784192
May-14,160.49272,155.3110465
Jun-14,160.48079,156.0876018
Jul-14,160.94967,156.2436894
Aug-14,161.46424,155.6187146
Sep-14,162.00662,155.1518585
Oct-14,162.36159,154.9967066
Nov-14,162.37881,156.7016704
Dec-14,162.89801,157.328477
Jan-15,163.2702,159.2164188
Feb-15,163.36424,159.694068
Mar-15,162.94371,159.694068
Apr-15,162.99404,159.534374
May-15,163.03775,161.1297177
Jun-15,163.36424,161.2908474
Jul-15,163.57815,161.1295566
Aug-15,164.02053,160.968427
Sep-15,164.65695,160.3245533
Oct-15,164.9351,160.9658515
Nov-15,164.44106,161.7706808
Dec-15,164.17417,162.7413049
Jan-16,164.65629,165.1824244
Feb-16,164.76821,165.6779717
Mar-16,164.22384,165.1809378
Apr-16,164.51192,164.3550331
May-16,164.1457,163.861968
Jun-16,163.89536,163.3703821
Jul-16,163.94305,163.8604932
Aug-16,164.05232,162.8773303
Sep-16,164.18344,160.759925
Oct-16,164.28675,160.1168853
Nov-16,163.86424,160.9174697
Dec-16,163.78344,160.9174697
Jan-17,164.39868,161.8829745
Feb-17,164.76225,162.0448575
Mar-17,165.00993,162.2069024
Apr-17,165.39007,162.6935231
May-17,165.57351,163.6696842
Jun-17,165.33311,164.1606933
Jul-17,165.70464,164.6531753
Aug-17,165.8894,164.1592158
Sep-17,166.22053,162.8459421
Oct-17,166.46623,162.0317124
Nov-17,166.13974,163.3279661
Dec-17,166.38278,163.81795
Jan-18,167.12649,165.2923115
Feb-18,167.06358,165.2923115
Footnotes:,,
9,,
Source:,,
"Statistics Canada. Table 326-0023 - Consumer Price Index (CPI) statistics, measures of core inflation and other related statistics - Bank of Canada definitions, monthly",,
"(accessed: April 05, 2018)",,
