Date,Round Steak,Ground Beef,Pork Chops,Chicken,Bacon,Milk,Cheese,Eggs,Bread,Macaroni,Flour,Apples,Bananas,Potatoes,Sugar
1/1/1996,0.1926,-0.108896774,-1.284980247,0.329969347,-0.133651473,1.151417514,0.330922306,0.037479333,-0.225805838,-0.220582266,0.189310264,-0.150257736,-0.068103519,-0.194741751,-0.073154218
2/1/1996,0.262235602,-0.166089005,-1.236518325,0.316701571,-0.177764397,1.161734148,0.229753927,0.10155381,-0.217860384,-0.207507853,0.191863874,-0.131554974,-0.078801047,-0.199554974,-0.073157068
3/1/1996,0.160249561,-0.136036907,-1.187796134,0.375717047,-0.135954305,1.189763913,0.358627417,0.084905682,-0.207360281,-0.205319859,0.183054482,-0.136671353,-0.06068717,-0.205251318,-0.068855888
4/1/1996,0.322233667,-0.095854032,-1.269456739,0.367879341,-0.159551501,1.209321366,0.355492643,0.135306651,-0.227213067,-0.191874044,0.197211301,-0.167454385,-0.057807534,-0.203405533,-0.061931136
5/1/1996,0.208699043,-0.103260571,-1.037806617,0.329679617,-0.211658878,1.186688381,0.287149419,0.198601256,-0.235917403,-0.165595852,0.180119696,-0.165717739,-0.06810604,-0.186616227,-0.073797926
6/1/1996,0.366890906,-0.118429638,-0.978475179,0.353809928,-0.188135452,1.129217894,0.149975692,0.29237004,-0.246374872,-0.202847123,0.183899692,-0.173534339,-0.07621643,-0.145641968,-0.074262996
7/1/1996,0.218480251,-0.16973235,-1.189766445,0.382474702,-0.170841354,1.068602395,0.242634445,0.213749434,-0.246289918,-0.199795138,0.179478426,-0.177886544,-0.074105717,-0.112893042,-0.084553406
8/1/1996,0.347385221,-0.214191955,-1.146751202,0.371923918,-0.262271098,1.044829325,0.088088763,0.152311325,-0.273460866,-0.202649322,0.181846087,-0.118699606,-0.071406209,-0.164259292,-0.089171841
9/1/1996,0.148156419,-0.170848547,-1.142344384,0.431581423,-0.14583073,1.080166204,-0.02635563,0.120629473,-0.22842734,-0.208270483,0.191509858,-0.134838908,-0.100260844,-0.184353001,-0.078198043
10/1/1996,0.147183595,-0.152042345,-1.011186557,0.43637637,-0.054740007,1.124012437,0.073922712,0.173931596,-0.186473497,-0.178397986,0.216074326,-0.159867634,-0.065396802,-0.183637252,-0.079408943
11/1/1996,0.102910918,-0.141964203,-0.958291458,0.461428668,-0.086470071,1.144591136,0.050750243,0.153877961,-0.191979673,-0.163244003,0.218905986,-0.164616023,-0.049874972,-0.167479486,-0.068367536
12/1/1996,0.190690647,-0.191934224,-1.045886948,0.423200411,-0.224487154,1.094758919,0.110857143,0.0060508,-0.199152107,-0.20565776,0.212813977,-0.150090442,-0.058101747,-0.164064748,-0.08168962
1/1/1997,0.282649177,-0.171970209,-0.900266341,0.415996443,-0.223555359,1.209171632,0.201981325,0.171104787,-0.184721209,-0.221870165,0.210014673,-0.147302357,-0.063367274,-0.163937305,-0.087766118
2/1/1997,0.218544408,-0.166627914,-1.001070227,0.404062555,-0.208332546,1.236397757,0.223116258,0.166318088,-0.178861611,-0.199852759,0.189902626,-0.159123045,-0.069619947,-0.160719681,-0.077657421
3/1/1997,0.073439344,-0.143095082,-0.989852459,0.355931148,-0.251019672,1.21645173,0.14784918,0.211759563,-0.189120219,-0.211016393,0.182805902,-0.193527869,-0.082531148,-0.161081967,-0.082331148
4/1/1997,0.058030412,-0.196733754,-0.917900014,0.357954096,-0.297974467,1.155296801,0.031812652,0.174200115,-0.209124229,-0.245318175,0.177514847,-0.172727729,-0.124836035,-0.161481136,-0.090131257
5/1/1997,0.06826572,-0.182608519,-0.721137931,0.356691684,-0.149352942,1.218427123,0.073460446,0.294725587,-0.196799189,-0.210371197,0.178957404,-0.202223124,-0.069963489,-0.15106288,-0.072539554
6/1/1997,0.0274369,-0.195603843,-0.914235065,0.458598642,-0.164351802,1.228646897,0.191314022,0.326624576,-0.213796287,-0.233864697,0.169715669,-0.183285559,-0.08168345,-0.14621072,-0.078834646
7/1/1997,0.124882033,-0.196790563,-0.798956805,0.374734301,-0.136349184,1.277482759,0.293385844,0.305936479,-0.208537205,-0.214415608,0.166497931,-0.147456261,-0.062213067,-0.111615608,-0.072425045
8/1/1997,-0.094174757,-0.167436893,-0.858271845,0.388621359,-0.197485436,1.247633585,0.275495146,0.211923409,-0.214740022,-0.264718447,0.164052427,-0.171660194,-0.077019417,-0.137902913,-0.077165049
9/1/1997,0.09016263,-0.233027682,-0.992231834,0.400975779,-0.173321799,1.274670127,0.277124567,0.281369089,-0.235865052,-0.239100346,0.164557093,-0.161304499,-0.108121107,-0.169280276,-0.069771626
10/1/1997,0.037073329,-0.176253082,-0.945279689,0.441983128,-0.198552886,1.200892999,0.230993511,0.243806906,-0.254569976,-0.259044127,0.163884491,-0.171279041,-0.086151201,-0.165408177,-0.048974692
11/1/1997,-0.058731597,-0.195375991,-1.034310305,0.38184145,-0.244173271,1.114468856,0.09892299,0.184065685,-0.254870895,-0.246134768,0.167774632,-0.144815402,-0.092354473,-0.166939977,-0.051749151
12/1/1997,0.095332142,-0.165109102,-0.929770023,0.337137482,-0.261286316,1.055839675,0.120890687,0.096306356,-0.257722935,-0.279089973,0.169800505,-0.181843389,-0.111367879,-0.175759933,-0.051350851
1/1/1998,0.123222986,-0.298524047,-1.01828732,0.322209869,-0.364824484,1.086509265,-0.050980012,0.12227913,-0.23938476,-0.269577764,0.151798251,-0.204248595,-0.101532167,-0.164023735,-0.052236102
2/1/1998,0.198581833,-0.211311009,-0.876920469,0.29044663,-0.464808288,1.111476071,-0.095309753,0.147873448,-0.245851821,-0.264086229,0.153625366,-0.238493093,-0.121917539,-0.160878192,-0.050841775
3/1/1998,0.037890724,-0.225045743,-0.941261753,0.284035578,-0.374425669,1.151120429,-0.126612452,0.220588875,-0.241055909,-0.253805591,0.150127065,-0.215926302,-0.1163723,-0.163069886,-0.045554003
4/1/1998,0.032018884,-0.248357952,-1.030916492,0.284403273,-0.343823752,1.105954399,-0.057971045,0.197917331,-0.252005455,-0.263885439,0.146146034,-0.225676458,-0.120785984,-0.162436844,-0.040785984
5/1/1998,0.025433988,-0.240277609,-1.185739275,0.245437033,-0.429253807,1.094033213,-0.111576806,0.29242181,-0.247566565,-0.254821478,0.130157764,-0.226997509,-0.123944091,-0.153621091,-0.038805426
6/1/1998,-0.03985261,-0.224208802,-1.06432958,0.265408393,-0.34608086,1.060019788,-0.123672467,0.303073354,-0.258303992,-0.300723644,0.129564585,-0.18739304,-0.104625384,-0.130004094,-0.048744115
7/1/1998,-0.13116874,-0.303009147,-1.079864887,0.248269757,-0.442563253,1.001026834,-0.304698635,0.23284693,-0.279468895,-0.295175398,0.117649405,-0.240390073,-0.130365862,-0.11066299,-0.055245679
8/1/1998,-0.166690603,-0.290965463,-1.181806986,0.200178939,-0.491219733,0.799225727,-0.298538642,0.087362309,-0.304110126,-0.334306008,0.103814675,-0.259912681,-0.137257526,-0.158014597,-0.07095634
9/1/1998,-0.083121435,-0.225360626,-1.125885005,0.177885925,-0.537214353,0.813771455,-0.469401104,0.154238665,-0.285942962,-0.29874793,0.109910764,-0.225829807,-0.148125115,-0.182586937,-0.063885925
10/1/1998,-0.231011908,-0.277493917,-1.265949262,0.168669946,-0.600186644,0.731696868,-0.506582967,0.110426094,-0.279287341,-0.337246958,0.105279058,-0.223889723,-0.138283717,-0.191777634,-0.061928294
11/1/1998,-0.089434173,-0.311239159,-1.152013763,0.176327188,-0.669615423,0.727655155,-0.693407686,0.085035835,-0.287874578,-0.310508959,0.122900805,-0.203666061,-0.118913789,-0.173687354,-0.065747859
12/1/1998,-0.167158686,-0.256424803,-1.251196009,0.18914145,-0.704818247,0.662026372,-0.598981015,0.077331886,-0.295585951,-0.31268198,0.125427914,-0.204446446,-0.136727143,-0.175137368,-0.066953347
1/1/1999,-0.122149928,-0.265464525,-1.228601158,0.196790312,-0.660117282,0.636411741,-0.661429248,0.125096617,-0.297036198,-0.304776096,0.124536922,-0.170375147,-0.121797157,-0.176003291,-0.067304462
2/1/1999,0.00981071,-0.268000734,-1.251483341,0.220145022,-0.654355344,0.624229953,-0.476293717,0.117165921,-0.292218735,-0.298500367,0.131010149,-0.194612406,-0.127390866,-0.167302798,-0.060505442
3/1/1999,-0.093151292,-0.244295204,-1.225856089,0.174439114,-0.60604059,0.6026932,-0.673867159,0.181083288,-0.311782288,-0.321081181,0.122276753,-0.140634686,-0.150317343,-0.168797048,-0.072350554
4/1/1999,0.000580405,-0.240208924,-1.185406021,0.198851086,-0.536837913,0.970172233,-0.529119548,0.260876151,-0.309942679,-0.314941738,0.14618406,-0.156725354,-0.104025402,-0.158498757,-0.061645857
5/1/1999,-0.013209157,-0.242554514,-1.112406064,0.290312367,-0.480904387,1.029123537,-0.564891246,0.318260215,-0.288094313,-0.290934022,0.13111505,-0.132813018,-0.097727193,-0.156196564,-0.058801998
6/1/1999,0.069736305,-0.225641375,-1.158679823,0.270874787,-0.491429737,1.01971555,-0.544071113,0.235076216,-0.285939095,-0.276994216,0.134085812,-0.124395713,-0.116154474,-0.11662096,-0.057501531
7/1/1999,0.053466756,-0.246927468,-1.283001343,0.240555406,-0.522879114,0.968949631,-0.506879785,0.30871726,-0.297271323,-0.289010074,0.123361719,-0.122090665,-0.134531901,-0.115843519,-0.061869711
8/1/1999,-0.022872756,-0.25726922,-1.341800964,0.2662794,-0.495542191,0.945612912,-0.645962497,0.145282615,-0.28994696,-0.287672381,0.116718189,-0.128141709,-0.116354139,-0.160326011,-0.060391911
9/1/1999,-0.037796087,-0.267930675,-1.260380475,0.271188139,-0.448807799,0.93628231,-0.641148467,0.221983887,-0.286570848,-0.29239063,0.117466793,-0.188925055,-0.137061201,-0.174153612,-0.06235238
10/1/1999,-0.025185707,-0.292621548,-1.31651922,0.231264212,-0.451808337,0.765020032,-0.640804548,0.316656199,-0.288675149,-0.247310774,0.13686627,-0.163818625,-0.127177585,-0.157645371,-0.060409312
11/1/1999,-0.062292218,-0.303165599,-1.193954477,0.24502576,-0.537449367,0.773940711,-0.537076871,0.293029849,-0.28992272,-0.288493118,0.155819545,-0.187937031,-0.121422925,-0.15113098,-0.048875835
12/1/1999,-0.24995286,-0.301720962,-1.260549789,0.274955441,-0.650687678,0.867698003,-0.793545714,0.295867409,-0.291908572,-0.283265996,0.152030023,-0.178535254,-0.133510935,-0.164944302,-0.051645972
1/1/2000,-0.107174237,-0.21482383,-1.236728566,0.309377744,-0.570615767,1.018672511,-0.674125224,0.281385476,-0.294657049,-0.273527958,0.127331492,-0.22240729,-0.120506696,-0.160979705,-0.061244098
2/1/2000,-0.043355017,-0.209461963,-1.386186329,0.291794928,-0.639257994,1.072228225,-0.617813671,0.292134509,-0.312754135,-0.249119074,0.145590958,-0.245714443,-0.134163175,-0.168309813,-0.05691731
3/1/2000,-0.092686747,-0.224732749,-1.282780942,0.296054765,-0.605349399,1.101945235,-0.789534502,0.314892662,-0.312170865,-0.275232202,0.127363636,-0.220974808,-0.131961665,-0.161838992,-0.05793483
4/1/2000,-0.042936075,-0.240709102,-1.25556253,0.283554973,-0.624629111,1.081585064,-0.720735448,0.300022398,-0.318544692,-0.27927524,0.122148886,-0.209697937,-0.123996867,-0.145075363,-0.048069031
5/1/2000,-0.144777495,-0.256843618,-1.2498372,0.279352544,-0.591975797,1.003518486,-0.695698603,0.391564886,-0.312954135,-0.300984355,0.106807114,-0.183990038,-0.135978672,-0.116166543,-0.064625794
6/1/2000,-0.096540284,-0.210862559,-1.088379147,0.27613744,-0.601421802,1.070446175,-0.624616114,0.394227488,-0.291682464,-0.234208531,0.106526066,-0.144085308,-0.131327014,-0.089364929,-0.065611374
7/1/2000,-0.055308161,-0.211174178,-1.056779537,0.273825822,-0.540570035,1.050370957,-0.570850183,0.397394505,-0.312019894,-0.280947625,0.116125457,-0.12046285,-0.131390987,-0.056455542,-0.062807552
8/1/2000,-0.003690585,-0.255828702,-1.095294308,0.281407607,-0.569193419,1.03707877,-0.651104127,0.368127596,-0.29305665,-0.26453898,0.118152684,-0.080635554,-0.116792556,-0.077097383,-0.056910709
9/1/2000,-0.102881592,-0.221007535,-1.080516685,0.243527449,-0.584565122,1.000203445,-0.634951561,0.351528525,-0.307666308,-0.260872982,0.109585576,-0.094997847,-0.13095479,-0.113590958,-0.059325619
