Date,Am,Can
Jan-96,1.3669,0.731582413
Feb-96,1.3752,0.727166958
Mar-96,1.3656,0.732278852
Apr-96,1.3592,0.735726898
May-96,1.3693,0.730300153
Jun-96,1.3658,0.732171621
Jul-96,1.3697,0.73008688
Aug-96,1.3722,0.728756741
Sep-96,1.3694,0.730246823
Oct-96,1.3508,0.740302043
Nov-96,1.3381,0.747328301
Dec-96,1.3622,0.734106592
Jan-97,1.3494,0.741070105
Feb-97,1.3556,0.737680732
Mar-97,1.3725,0.72859745
Apr-97,1.3942,0.717257208
May-97,1.3804,0.724427702
Jun-97,1.3843,0.722386766
Jul-97,1.3775,0.725952813
Aug-97,1.3905,0.719165768
Sep-97,1.3872,0.720876586
Oct-97,1.3869,0.721032519
Nov-97,1.4128,0.70781427
Dec-97,1.4271,0.700721743
Jan-98,1.4409,0.694010688
Feb-98,1.4334,0.69764197
Mar-98,1.4166,0.705915572
Apr-98,1.4298,0.699398517
May-98,1.4452,0.691945751
Jun-98,1.4655,0.682360969
Jul-98,1.4869,0.672540184
Aug-98,1.5346,0.651635605
Sep-98,1.5218,0.657116572
Oct-98,1.5452,0.647165415
Nov-98,1.5404,0.649182031
Dec-98,1.5433,0.647962159
Jan-99,1.5194,0.658154535
Feb-99,1.4977,0.667690459
Mar-99,1.5176,0.658935161
Apr-99,1.4881,0.67199785
May-99,1.4611,0.684415851
Jun-99,1.4695,0.680503573
Jul-99,1.489,0.671591672
Aug-99,1.4932,0.669702652
Sep-99,1.4771,0.677002234
Oct-99,1.4776,0.676773146
Nov-99,1.4674,0.681477443
Dec-99,1.4722,0.679255536
Jan-00,1.4486,0.69032169
Feb-00,1.4512,0.689084895
Mar-00,1.4608,0.684556407
Apr-00,1.4689,0.680781537
May-00,1.4957,0.668583272
Jun-00,1.477,0.67704807
Jul-00,1.4778,0.676681554
Aug-00,1.4828,0.674399784
Sep-00,1.4864,0.672766416
Oct-00,1.5125,0.661157025
Nov-00,1.5426,0.648256191
Dec-00,1.5219,0.657073395
Jan-01,1.5032,0.665247472
Feb-01,1.5216,0.657202944
Mar-01,1.5587,0.641560275
Apr-01,1.5578,0.641930928
May-01,1.5411,0.648887159
Jun-01,1.5245,0.655952771
Jul-01,1.5308,0.653253201
Aug-01,1.5399,0.649392818
Sep-01,1.5679,0.637795778
Oct-01,1.5717,0.636253738
Nov-01,1.5922,0.628061801
Dec-01,1.5788,0.63339245
Jan-02,1.5997,0.625117209
Feb-02,1.5964,0.626409421
Mar-02,1.5877,0.62984191
Apr-02,1.5815,0.632311097
May-02,1.5502,0.645078054
Jun-02,1.5318,0.65282674
Jul-02,1.5456,0.64699793
Aug-02,1.5694,0.637186186
Sep-02,1.5761,0.634477508
Oct-02,1.578,0.633713561
Nov-02,1.5715,0.636334712
Dec-02,1.5592,0.641354541
Jan-03,1.5414,0.648760867
Feb-03,1.5121,0.661331922
Mar-03,1.4761,0.677460877
Apr-03,1.4582,0.685776985
May-03,1.384,0.722543353
Jun-03,1.3525,0.739371534
Jul-03,1.3821,0.723536647
Aug-03,1.3963,0.716178472
Sep-03,1.3634,0.733460466
Oct-03,1.3221,0.756372438
Nov-03,1.313,0.761614623
Dec-03,1.3128,0.761730652
Jan-04,1.2958,0.771724031
Feb-04,1.3299,0.751936236
Mar-04,1.3286,0.752671986
Apr-04,1.342,0.745156483
May-04,1.3789,0.725215752
Jun-04,1.3578,0.736485491
Jul-04,1.3225,0.756143667
Aug-04,1.3127,0.76178868
Sep-04,1.2881,0.776337241
Oct-04,1.2469,0.801988933
Nov-04,1.1968,0.835561497
Dec-04,1.2189,0.820411847
Jan-05,1.2248,0.81645983
Feb-05,1.2401,0.806386582
Mar-05,1.216,0.822368421
Apr-05,1.2359,0.809126952
May-05,1.2555,0.79649542
Jun-05,1.2402,0.806321561
Jul-05,1.2229,0.817728351
Aug-05,1.2043,0.830357884
Sep-05,1.1777,0.849112677
Oct-05,1.1774,0.84932903
Nov-05,1.1815,0.846381718
Dec-05,1.1615,0.860955661
Jan-06,1.1572,0.864154857
Feb-06,1.1489,0.870397772
Mar-06,1.1573,0.864080187
Apr-06,1.1441,0.874049471
May-06,1.11,0.900900901
Jun-06,1.1137,0.897907875
Jul-06,1.1294,0.88542589
Aug-06,1.1182,0.894294402
Sep-06,1.1161,0.895977063
Oct-06,1.1285,0.886132034
Nov-06,1.1359,0.880359187
Dec-06,1.1532,0.867152272
Jan-07,1.1763,0.850123268
Feb-07,1.171,0.853970965
Mar-07,1.1682,0.856017805
Apr-07,1.135,0.881057269
May-07,1.0951,0.913158616
Jun-07,1.0651,0.938878978
Jul-07,1.0502,0.952199581
Aug-07,1.0579,0.945268929
Sep-07,1.0267,0.973994351
Oct-07,0.9754,1.025220422
Nov-07,0.9672,1.033912324
Dec-07,1.0021,0.997904401
Jan-08,1.0099,0.990197049
Feb-08,0.9986,1.001401963
Mar-08,1.0029,0.997108386
Apr-08,1.0137,0.986485153
May-08,0.9993,1.00070049
Jun-08,1.0166,0.98367106
Jul-08,1.013,0.987166831
Aug-08,1.0535,0.949216896
Sep-08,1.0582,0.945000945
Oct-08,1.1847,0.844095552
Nov-08,1.2171,0.821625175
Dec-08,1.2337,0.810569831
Jan-09,1.2248,0.81645983
Feb-09,1.2452,0.803083842
Mar-09,1.2645,0.790826414
Apr-09,1.2242,0.81685999
May-09,1.1528,0.867453158
Jun-09,1.1264,0.887784091
Jul-09,1.1229,0.890551251
Aug-09,1.0872,0.919793966
Sep-09,1.0816,0.924556213
Oct-09,1.0547,0.948136911
Nov-09,1.0593,0.944019636
Dec-09,1.0537,0.949036728
Jan-10,1.0438,0.958037938
Feb-10,1.0572,0.945894816
Mar-10,1.0229,0.97761267
Apr-10,1.0052,0.9948269
May-10,1.0403,0.961261175
Jun-10,1.0376,0.963762529
Jul-10,1.0422,0.959508732
Aug-10,1.0404,0.961168781
Sep-10,1.033,0.968054211
Oct-10,1.0179,0.982414776
Nov-10,1.0129,0.987264291
Dec-10,1.0081,0.991965083
Jan-11,0.9939,1.006137438
Feb-11,0.9876,1.012555691
Mar-11,0.9766,1.02396068
Apr-11,0.958,1.043841336
May-11,0.968,1.033057851
Jun-11,0.9766,1.02396068
Jul-11,0.9553,1.046791584
Aug-11,0.9817,1.018641133
Sep-11,1.0025,0.997506234
Oct-11,1.0198,0.980584428
Nov-11,1.0248,0.975800156
Dec-11,1.0235,0.97703957
Jan-12,1.013,0.987166831
Feb-12,0.9967,1.003310926
Mar-12,0.9938,1.00623868
Apr-12,0.9928,1.007252216
May-12,1.0097,0.990393186
Jun-12,1.028,0.972762646
Jul-12,1.0142,0.985998817
Aug-12,0.9924,1.007658202
Sep-12,0.9783,1.022181335
Oct-12,0.9872,1.012965964
Nov-12,0.997,1.003009027
Dec-12,0.9898,1.010305112
Jan-13,0.9921,1.007962907
Feb-13,1.0098,0.990295108
Mar-13,1.0244,0.976181179
Apr-13,1.0187,0.981643271
May-13,1.0196,0.980776775
Jun-13,1.0314,0.969555943
Jul-13,1.0402,0.961353586
Aug-13,1.0407,0.960891708
Sep-13,1.0342,0.966930961
Oct-13,1.0363,0.964971533
Nov-13,1.0486,0.953652489
Dec-13,1.0639,0.939937964
Jan-14,1.094,0.914076782
Feb-14,1.1054,0.9046499
Mar-14,1.1107,0.900333123
Apr-14,1.0992,0.909752547
May-14,1.0894,0.917936479
Jun-14,1.083,0.923361034
Jul-14,1.0739,0.931185399
Aug-14,1.0926,0.915248032
Sep-14,1.1011,0.908182726
Oct-14,1.1212,0.891901534
Nov-14,1.1325,0.883002208
Dec-14,1.1532,0.867152272
Jan-15,1.2122,0.824946378
Feb-15,1.2499,0.800064005
Mar-15,1.2618,0.792518624
Apr-15,1.2337,0.810569831
May-15,1.2176,0.821287779
Jun-15,1.2365,0.808734331
Jul-15,1.2863,0.777423618
Aug-15,1.3147,0.760629801
Sep-15,1.3266,0.753806724
Oct-15,1.3072,0.76499388
Nov-15,1.3279,0.753068755
Dec-15,1.3713,0.729235032
Jan-16,1.4208,0.703828829
Feb-16,1.3797,0.724795245
Mar-16,1.3226,0.756086496
Apr-16,1.2818,0.78015291
May-16,1.2945,0.772499034
Jun-16,1.2894,0.775554521
Jul-16,1.3052,0.766166105
Aug-16,1.2998,0.769349131
Sep-16,1.3108,0.76289289
Oct-16,1.3251,0.754660026
Nov-16,1.3434,0.744379932
Dec-16,1.3339,0.749681385
Jan-17,1.3183,0.758552681
Feb-17,1.3109,0.762834694
Mar-17,1.3387,0.746993352
Apr-17,1.3437,0.744213738
May-17,1.3606,0.734969866
Jun-17,1.3295,0.752162467
Jul-17,1.269,0.788022065
Aug-17,1.2608,0.793147208
Sep-17,1.2279,0.814398567
Oct-17,1.2607,0.793210121
Nov-17,1.2773,0.782901433
Dec-17,1.2769,0.783146683
