itemName,usPrice,canadaPrice,netChange,percentChange
Milk,2.922999999,7.577057515,4.654057516,1.592219472
Chicken,1.478,2.698970448,1.220970448,0.826096379
Flour,0.47,0.688976168,0.218976168,0.46590674
Eggs,1.754999999,2.565935812,0.810935813,0.462071689
Ground Beef,3.642,4.363755958,0.721755958,0.198175716
Pork Chops,3.718,4.370962822,0.652962822,0.175622061
Bread,1.265,1.468064824,0.203064824,0.160525553
Apples,1.329000001,1.470200191,0.14120019,0.10624544
Round Steak,5.934,6.511401335,0.577401335,0.097303899
Bananas,0.574,0.565738799,-0.008261201,-0.014392336
Cheese,4.064000001,3.906120114,-0.157879887,-0.038848397
Macaroni,1.176,1.044995234,-0.131004766,-0.111398611
Bacon,5.533,4.85742612,-0.67557388,-0.12209902
Potatoes,0.736,0.575748332,-0.160251668,-0.217733245
Sugar,0.622,0.484661582,-0.137338418,-0.220801315
