Year,Number of Farms,Number of Cows,Production Value,Operating Costs,Cost Percentage of Production,Total Production (in gallons),Earned Profits,Subsidies,Total Profits,Earned profits/gallon,Profits/gallon,Earned profits/farm,Profits/farm,Earned profits/cow,Profits/cow,Price,Production per Capita,
2000,82937,9199000,23890965053,18768739253,0.785599879,20087160000,5122225800,666542507,5788768307,0.26,0.288182516,61760.44226,69797.17505,557,629.2823467,2.780666667,71.19006365,282162411
2001,76875,9103000,28508031428,18968375028,0.665369514,19839840000,9539656400,118391201,9658047601,0.48,0.48680068,124093.0914,125633.1395,"1,048",1060.974141,2.88425,69.62105749,284968955
2002,74012,9139000,24018609717,19903085117,0.828652672,20407560000,4115524600,862367458,4977892058,0.2,0.243923921,55606.18008,67257.90491,450,544.6867336,2.75725,70.9519211,287625193
2003,70375,9081000,25116075050,20465574650,0.814839684,20441760000,4650500400,891689720,5542190120,0.23,0.271120986,66081.71083,78752.25748,512,610.3061469,2.761083333,70.46260262,290107933
2004,66830,9010000,31953988934,21328238534,0.667467169,20499840000,10625750400,206160460,10831910860,0.52,0.52839002,158996.7141,162081.5631,"1,179",1202.209862,3.155916667,70.01184794,292805298
2005,64540,9050000,30178412946,23578886646,0.781316323,21231720000,6599526300,16786408,6616312708,0.31,0.311623962,102254.8234,102514.9165,729,731.0842771,3.186833333,71.8461165,295516599
2006,62070,9137000,26771907694,25026800494,0.934815732,21813840000,1745107200,431488034,2176595234,0.08,0.099780471,28115.14741,35066.78321,191,238.2177119,3.081333333,73.1076025,298379912
2007,59130,9189000,39323596525,28945537925,0.736085722,22278480000,10378058600,78122492,10456181092,0.47,0.469339968,175512.5757,176833.7746,"1,129",1137.901958,3.50325,73.95807434,301231207
2008,57127,9314000,39832649264,35197186064,0.88362654,22797360000,4635463200,12828763,4648291963,0.2,0.203896064,81143.12322,81367.68889,498,499.0650594,3.795333333,74.96814324,304093966
2009,54932,9202000,28027097706,31584095306,1.126912806,22704240000,-3556997600,1147694515,-2409303085,-0.16,-0.106116879,-64752.74157,-43859.73722,-387,-261.8238519,3.109,74.01025797,306771529
2010,53132,9123000,34912009988,29627180188,0.848624304,23145240000,5284829800,73932412,5358762212,0.23,0.231527615,99466.04306,100857.5286,579,587.3903554,3.2585,74.81937999,309348193
2011,51481,9199000,43267986591,36202806591,0.836711145,23550600000,7065180000,0,7065180000,0.3,0.3,137238.5929,137238.5929,768,768.0378302,3.571583333,75.56422465,311663358
2012,49281,9237000,42595132876,39625631276,0.930285425,24077040000,2969501600,447081952,3416583552,0.12,0.141902142,60256.52077,69328.61655,321,369.8802157,3.4925,76.67886719,313998379
2013,46975,9224000,45125890765,45286875565,1.00356746,24147720000,-160984800,234304339,73319539,-0.01,0.003036292,-3427.0314,1560.820415,-17,7.948779163,3.461916667,76.36731559,316204908
2014,44809,9257000,55251440946,46556299746,0.842625983,24725520000,8695141200,0,8695141200,0.35,0.351666667,194048.9902,194048.9902,939,939.3044399,3.693666667,77.61568232,318563456
2015,43534,9317000,41494309085,43787743085,1.055271049,25019280000,-2293434000,0,-2293434000,-0.09,-0.091666667,-52681.44439,-52681.44439,-246,-246.1558442,3.41875,77.96679241,320896618
2016,41809,9328000,38974785805,42629992205,1.093783874,25501440000,-3655206400,10572942,-3644633458,-0.14,-0.142918732,-87426.30534,-87173.41859,-392,-390.7197103,3.20425,78.92067055,323127513
