Date,Round Steak,Ground Beef,Pork Chops,Chicken,Bacon,Milk,Cheese,Eggs,Bread,Macaroni,Flour,Apples,Bananas,Potatoes,Sugar
1/1/1996,3.003,1.35,4.255,0.941,2.138,2.546,3.107,1.155,0.86,0.871,0.262,0.877,0.463,0.385,0.405
2/1/1996,3.023,1.403,4.215,0.94,2.203,2.541,3.227,1.091,0.858,0.854,0.262,0.877,0.501,0.385,0.403
3/1/1996,2.982,1.375,4.154,0.933,2.202,2.539,3.149,1.138,0.852,0.863,0.274,0.894,0.539,0.392,0.406
4/1/1996,2.995,1.354,4.283,0.947,2.242,2.537,3.182,1.086,0.865,0.866,0.266,0.915,0.505,0.394,0.404
5/1/1996,2.988,1.319,4.102,0.949,2.345,2.532,3.211,1.021,0.869,0.848,0.281,0.921,0.512,0.392,0.415
6/1/1996,2.838,1.324,4.283,0.968,2.493,2.599,3.304,0.945,0.886,0.887,0.297,0.954,0.498,0.401,0.418
7/1/1996,2.868,1.352,4.263,0.972,2.542000001,2.649,3.228,1.042,0.889,0.882,0.308,0.976,0.498,0.408,0.424
8/1/1996,2.75,1.391,4.34,0.99,2.682,2.666,3.363,1.072,0.915,0.877,0.314,0.998,0.478,0.403,0.428
9/1/1996,2.939,1.36,4.256,1.006,2.809,2.666,3.511,1.15,0.886,0.884,0.308,1.006,0.458,0.375,0.426
10/1/1996,3.053,1.371,4.161000001,1.021,2.721,2.73,3.499,1.129,0.873,0.85,0.293,0.949,0.465,0.359,0.432
11/1/1996,3.009,1.403,4.138,1.003,2.656,2.746000001,3.651,1.139,0.88,0.848,0.295,0.907,0.477,0.343,0.426
12/1/1996,3.026,1.424,4.176,1.002,2.642,2.727,3.592,1.308,0.875,0.845,0.292,0.886,0.481,0.335,0.428
1/1/1997,2.978,1.409,4.171,1.016,2.664,2.677,3.536,1.148,0.862,0.874,0.309,0.907,0.497,0.335,0.434
2/1/1997,2.977,1.398,4.123,1.008,2.651,2.632,3.471,1.132,0.858,0.849,0.308,0.912,0.518,0.331,0.429
3/1/1997,2.977,1.356,4.113,1.009,2.657,2.632,3.514,1.056,0.855,0.872,0.305,0.914,0.532,0.33,0.431
4/1/1997,3.01,1.381,4.051,1.002,2.66,2.606,3.534,1.081,0.855,0.883,0.304,0.895,0.512,0.335,0.434999999
5/1/1997,2.945,1.382,4.017,1.007,2.627,2.608,3.528,1.002,0.854,0.861,0.31,0.912,0.484,0.338,0.434
6/1/1997,2.997,1.408,4.132,0.993,2.694,2.587,3.4,0.952,0.874,0.863,0.31,0.914,0.488,0.345,0.436
7/1/1997,2.954,1.402,4.081999999,1.005,2.718,2.557,3.342,0.979,0.872,0.873,0.309,0.918,0.487,0.367,0.433
8/1/1997,3.004,1.394,4.078,0.988,2.755,2.551,3.352,1.061,0.872,0.878,0.307,0.935,0.475,0.388,0.436
9/1/1997,2.977,1.42,4.2,0.992,2.75,2.533,3.359,1.009,0.885,0.88,0.305,0.933000001,0.458,0.387999999,0.436
10/1/1997,3.07,1.406,4.036,0.984,2.73,2.635,3.419,1.018000001,0.899,0.887,0.294,0.881000001,0.459,0.374,0.43
11/1/1997,3.035,1.409,4.016999999,1.018,2.665,2.678,3.497,1.09,0.897,0.869,0.283,0.864,0.468,0.366,0.429
12/1/1997,3.045,1.392,3.908,1.001,2.607,2.672,3.439,1.172,0.884,0.883,0.279,0.897,0.461,0.37,0.428
1/1/1998,2.88,1.457,3.798,1.022,2.644,2.632,3.539,1.120000001,0.855,0.874,0.299,0.922,0.473,0.362,0.43
2/1/1998,2.852,1.398,3.687,1.007,2.623,2.653,3.475,1.073,0.86,0.878,0.297,0.96,0.489,0.362,0.429
3/1/1998,2.94,1.413,3.679,1.032,2.539,2.658,3.572,1.043,0.853,0.875,0.302,0.962,0.475,0.368,0.433
4/1/1998,2.893,1.419,3.718,1.029,2.444,2.668,3.535,1.061,0.863,0.873,0.298,0.949,0.511,0.369,0.431
5/1/1998,2.859,1.411,3.772,1.032,2.438,2.666,3.539,0.96,0.866,0.87,0.308,0.974,0.51,0.381,0.428000001
