Date,1/1/1996,2/1/1996,3/1/1996,4/1/1996,5/1/1996,6/1/1996,7/1/1996,8/1/1996,9/1/1996,10/1/1996,11/1/1996,12/1/1996,1/1/1997,2/1/1997,3/1/1997,4/1/1997,5/1/1997,6/1/1997,7/1/1997,8/1/1997,9/1/1997,10/1/1997,11/1/1997,12/1/1997,1/1/1998,2/1/1998,3/1/1998,4/1/1998,5/1/1998,6/1/1998,7/1/1998,8/1/1998,9/1/1998,10/1/1998,11/1/1998,12/1/1998,1/1/1999,2/1/1999,3/1/1999,4/1/1999,5/1/1999,6/1/1999,7/1/1999,8/1/1999,9/1/1999,10/1/1999,11/1/1999,12/1/1999,1/1/2000,2/1/2000,3/1/2000,4/1/2000,5/1/2000,6/1/2000,7/1/2000,8/1/2000,9/1/2000,10/1/2000,11/1/2000,12/1/2000,1/1/2001,2/1/2001,3/1/2001,4/1/2001,5/1/2001,6/1/2001,7/1/2001,8/1/2001,9/1/2001,10/1/2001,11/1/2001,12/1/2001,1/1/2002,2/1/2002,3/1/2002,4/1/2002,5/1/2002,6/1/2002,7/1/2002,8/1/2002,9/1/2002,10/1/2002,11/1/2002,12/1/2002,1/1/2003,2/1/2003,3/1/2003,4/1/2003,5/1/2003,6/1/2003,7/1/2003,8/1/2003,9/1/2003,10/1/2003,11/1/2003,12/1/2003,1/1/2004,2/1/2004,3/1/2004,4/1/2004,5/1/2004,6/1/2004,7/1/2004,8/1/2004,9/1/2004,10/1/2004,11/1/2004,12/1/2004,1/1/2005,2/1/2005,3/1/2005,4/1/2005,5/1/2005,6/1/2005,7/1/2005,8/1/2005,9/1/2005,10/1/2005,11/1/2005,12/1/2005,1/1/2006,2/1/2006,3/1/2006,4/1/2006,5/1/2006,6/1/2006,7/1/2006,8/1/2006,9/1/2006,10/1/2006,11/1/2006,12/1/2006,1/1/2007,2/1/2007,3/1/2007,4/1/2007,5/1/2007,6/1/2007,7/1/2007,8/1/2007,9/1/2007,10/1/2007,11/1/2007,12/1/2007,1/1/2008,2/1/2008,3/1/2008,4/1/2008,5/1/2008,6/1/2008,7/1/2008,8/1/2008,9/1/2008,10/1/2008,11/1/2008,12/1/2008,1/1/2009,2/1/2009,3/1/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/1/2009,9/1/2009,10/1/2009,11/1/2009,12/1/2009,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018
RoundSteak,3.003,3.023,2.982,2.995,2.988,2.838,2.868,2.75,2.939,3.053,3.009,3.026,2.978,2.977,2.977,3.01,2.945,2.997,2.954,3.004,2.977,3.07,3.035,3.045,2.88,2.852,2.94,2.893,2.859,2.776,2.892,2.889,2.879,2.873,2.881,2.88,2.809,2.825,2.834,2.883,2.829,2.767,2.804,2.848,2.906,2.874,2.934,3.063,2.941,2.969,2.996,2.992,3.041,3.054,3.048,3.023,3.062999999,3.093000001,3.161,3.062,3.156,3.358,3.337,3.396,3.349,3.341,3.31,3.299,3.237,3.311,3.294,3.279000001,3.246,3.28,3.343,3.263,3.559,3.327,3.410999999,3.367,3.276000001,3.283,3.288,3.368,3.342,3.618,3.535,3.444,3.376,3.450000001,3.49,3.532000001,3.627,3.667,3.914,4.001,3.919,3.912,3.791,3.847,3.827000001,3.804,3.719999999,3.852999999,3.863000001,3.868999999,3.856,3.908,3.987,4.045,4.131,4.069,4.146,4.145,3.989,3.813,3.889000001,3.915,3.923999999,3.904,3.961,4.003,3.941999999,3.996,3.921,3.922,3.888,3.934,3.959000001,4.042,3.931,4.024,4.009,4.066,4.078,4.289,4.087,4.080999999,4.064,4.032,4.156,4.091,4.217,4.097,4.071,4.155999999,4.127,4.191,4.158,4.152999999,4.358999999,4.355000001,4.296,4.291999999,4.335999999,4.166,4.099000001,4.268,4.134,4.02,4.006,4.036,3.869,3.902000001,3.892,3.868999999,3.951,3.98,3.901999999,3.981000001,4.011000001,4.169,4.172,4.107,4.063,3.997,4.044,4.232,4.260000001,4.361,4.451,4.365,4.430999999,4.528,4.507000001,4.403,4.583,4.562,4.644999999,4.583,4.811,4.752,4.695999999,4.761,4.681999999,4.636,4.997,5.066,4.690000001,4.552999999,4.716999999,4.877000001,4.884999999,4.939,5.074000001,5.054999999,4.985,5.036,5.016,4.944,4.953,4.825999999,4.879000001,4.872,4.908,4.955,4.998,5.244000001,5.363,5.564999999,5.521999999,5.539,5.433999999,5.868,5.950000001,6.015,5.941000001,6.161999999,6.160999999,6.024000001,6.085,6.155000001,6.013000001,5.931,6.178999999,6.256,6.129,6.174,6.014,5.918,5.693,5.662,5.800999999,5.954,5.887999999,5.748,5.855999999,5.875,5.737999999,5.755,5.56,5.464999999,5.304,5.333999999,5.461,5.590000001,5.927999999,6.132,6.133,5.935,5.939999999,5.851,5.893,5.943000001,6.048,5.934
GroundBeef,1.35,1.403,1.375,1.354,1.319,1.324,1.352,1.391,1.36,1.371,1.403,1.424,1.409,1.398,1.356,1.381,1.382,1.408,1.402,1.394,1.42,1.406,1.409,1.392,1.457,1.398,1.413,1.419,1.411,1.388,1.447,1.426,1.361,1.393,1.442,1.387999999,1.382,1.431,1.404000001,1.429,1.444,1.448,1.435,1.442,1.484,1.496,1.518,1.528,1.483,1.516,1.532,1.584,1.57,1.556,1.574,1.611,1.579,1.582,1.621,1.625,1.693,1.732,1.740000001,1.763,1.735,1.703,1.679999999,1.634,1.717,1.713,1.747,1.713,1.734,1.7,1.74,1.784,1.737,1.719,1.659,1.668999999,1.676,1.720999999,1.721,1.693,1.722,1.778,1.858,1.855,1.855999999,1.932,1.877999999,2.006,2.022,2.01,2.256,2.231999999,2.26,2.250000001,2.196,2.088999999,2.125,2.078,2.095,2.129999999,2.121,2.209999999,2.216,2.14,2.191,2.229,2.218000001,2.309,2.363,2.338,2.299,2.422,2.377,2.206,2.302,2.303,2.277,2.188,2.251000001,2.228,2.24,2.237,2.147000001,2.213,2.202,2.206,2.205999999,2.259000001,2.185,2.304,2.292,2.254,2.307000001,2.333000001,2.365999999,2.395,2.372,2.26,2.289,2.233999999,2.328,2.381,2.292999999,2.323,2.312999999,2.269,2.258,2.371,2.419,2.402,2.357,2.406,2.357,2.436,2.269,2.251,2.257,2.233999999,2.147,2.134,2.138000001,2.177,2.062000001,2.186,2.279,2.277,2.239999999,2.364,2.309,2.399999999,2.453,2.502,2.398,2.397,2.394,2.378,2.533000001,2.659,2.715,2.721999999,2.693999999,2.773999999,2.818,2.818999999,2.868000001,2.875999999,2.899000001,2.921,3.005,2.947,3.016,2.998000001,2.995,3.007,3.085000001,2.991,3.024000001, ,3.175000001,3.079999999,3.407,3.379000001,3.332,3.268,3.310999999,3.382,3.459,3.453999999,3.502000001,3.388999999,3.477,3.459999999,3.467,3.554999999,3.697999999,3.808,3.856000001,3.88,3.884,4.013000001,4.096,4.153999999,4.201000001,4.156000001,4.235,4.238,4.199999999,4.230999999,4.136,4.221000001,4.2,4.159000001,4.126000001,4.083,4.113,4.060000001,3.978,3.964000001,3.954999999,3.815,3.717000001,3.724999999,3.690000001,3.657,3.665,3.679000001,3.597000001,3.559,3.553,3.557,3.594,3.547000001,3.559,3.679,3.754,3.732,3.707,3.688,3.637999999,3.708,3.641000001,3.642
PorkChops,4.255,4.215,4.154,4.283,4.102,4.283,4.263,4.34,4.256,4.161000001,4.138,4.176,4.171,4.123,4.113,4.051,4.017,4.132,4.081999999,4.078,4.2,4.036,4.016999999,3.908,3.798,3.687,3.679,3.718,3.772,3.85,3.859,3.845,3.731,3.814,3.655,3.676,3.599,3.738,3.617,3.627,3.655,3.696,3.781,3.851,3.8,3.843,3.772,3.747,3.795,3.943,3.888,3.902,3.955,3.88,3.896,3.928,3.885,3.893,3.85,3.889000001,3.901,3.933,3.958999999,4.062,3.892,3.981,3.923,4.026,4.075,4.091000001,3.866,3.963,4.011999999,4.057,3.932,3.917,3.895,3.877,3.917,3.832,3.836999999,3.744,3.705,3.643,3.738,3.721,3.84,3.811000001,3.882,3.767,3.876000001,3.756,3.844,3.836,3.718,3.716,3.818,3.819,3.817,3.789,3.903,4.066,4.093,4.021000001,4.043,3.905000001,3.816,3.736,3.937000001,3.905,3.897,3.808,3.599,3.814,3.757,3.767000001,3.765999999,3.74,3.653,3.635,3.726,3.703000001,3.633999999,3.615,3.63,3.526,3.551000001,3.555000001,3.592,3.599,3.560000001,3.455999999,3.482,3.479,3.547,3.590000001,3.705,3.694,3.694,3.661,3.601,3.705999999,3.558,3.528,3.608,3.481,3.533,3.613000001,3.684,3.892000001,3.861,3.908,3.920999999,3.822,3.778,3.803000001,3.692,3.606,3.679,3.565,3.702,3.701,3.729,3.764999999,3.566,3.621,3.578000001,3.508,3.672,3.747,3.566,3.734,3.895,3.867,3.865,3.928,3.977,3.893999999,3.825,3.808,3.921,4.093,4.086,3.967,4.055,4.065,4.005999999,4.126999999,4.207999999,4.082000001,4.060000001,3.966,4.001000001,4.013,3.977000001,3.993,3.903,3.968,3.938999999,4.037,3.883,3.917999999,4.004,3.943000001,3.916999999,4.018,3.957,3.900000001,4.057999999,3.800999999,3.973,3.983,3.990000001,3.997000001,3.947000001,3.952,4.021,4.096999999,4.089,4.363000001,4.444,4.404,4.387,4.527,4.5,4.605,4.522,4.534,4.484000001,4.467999999,4.196,4.227,4.273,4.326,4.47,4.396000001,4.357,4.355000001,4.153,4.223,4.143,4.169000001,4.146,4.13,4.15,4.289,4.292,4.197,4.031,3.945,3.812000001,3.751000001,3.727,3.814,3.822,3.802,3.832,3.875,3.821,3.917,3.809,3.811999999,3.802000001,3.664,3.694000001,3.718
Chicken,0.941,0.94,0.933,0.947,0.949,0.968,0.972,0.99,1.006,1.021,1.003,1.002,1.016,1.008,1.009,1.002,1.007,0.993,1.005,0.988,0.992,0.984,1.018,1.001,1.022,1.007,1.032,1.029,1.032,1.016,1.032999999,1.059,1.074,1.076,1.084,1.06,1.072,1.064,1.057,1.056999999,1.026,1.041,1.045,1.043,1.08,1.055,1.078,1.053,1.059,1.046,1.064,1.069,1.052,1.069000001,1.089,1.086,1.087,1.09,1.065,1.077999999,1.091,1.09,1.103,1.100999999,1.095,1.106,1.102,1.11,1.107,1.115,1.133,1.109,1.091,1.111,1.11,1.11,1.094,1.066,1.076999999,1.035,1.074,1.027000001,1.044,1.048,1.004,1.030999999,1.049,1.053000001,1.031,1.033,1.026999999,1.023,1.022,1.022000001,1.068,1.05,1.061999999,1.06,1.1,1.12,1.038999999,1.060000001,1.077,1.092,1.078,1.078,1.039000001,1.03,1.026,1.038,1.061,1.07,1.052,1.075,1.067,1.042,1.056,1.062,1.059,1.061,1.062,1.045,1.047,1.054,1.033999999,1.055,1.04,1.048,1.063,1.038,1.049,1.056999999,1.033,1.039,1.063999999,1.115,1.118000001,1.134,1.13,1.145,1.142,1.135,1.161,1.166,1.163,1.159,1.168000001,1.176000001,1.194,1.181,1.191,1.223,1.214,1.205,1.304,1.305,1.292,1.29,1.301000001,1.296,1.303999999,1.282,1.261,1.286999999,1.257999999,1.244,1.256,1.267,1.265,1.265,1.231,1.23,1.259000001,1.239,1.28,1.254,1.276000001,1.302000001,1.276999999,1.280000001,1.241,1.265999999,1.269000001,1.260999999,1.301999999,1.305,1.305999999,1.296000001,1.294,1.312,1.304,1.34,1.334,1.355999999,1.372,1.400999999,1.347,1.39,1.454,1.433,1.454999999,1.529999999,1.512,1.481999999,1.496999999,1.456,1.471,1.473,1.466,1.509,1.484,1.489,1.528,1.543,1.518,1.52,1.529,1.504,1.544000001,1.53,1.555999999,1.503000001,1.495,1.571999999,1.543000001,1.548999999,1.533,1.541000001,1.546,1.550000001,1.545,1.538999999,1.483,1.515,1.487,1.428,1.415,1.430000001,1.484,1.437000001,1.429,1.477999999,1.463,1.496000001,1.489,1.407999999,1.445,1.426,1.487,1.502,1.478,1.463,1.418,1.473,1.462000001,1.443999999,1.499,1.496999999,1.496000001,1.489,1.48,1.484,1.451,1.470000001,1.508999999,1.478
Bacon,2.138,2.203,2.202,2.242,2.345,2.493,2.542000001,2.682,2.809,2.721,2.656,2.642,2.664,2.651,2.657,2.66,2.627,2.694,2.718,2.755,2.75,2.73,2.665,2.607,2.644,2.623,2.539,2.444,2.438,2.457,2.517,2.513,2.576,2.567,2.619,2.58,2.523,2.52,2.507,2.445,2.474,2.504,2.503,2.543,2.58,2.57,2.658,2.752,2.75,2.871,2.928,2.953,3.006,3.132,3.168,3.2,3.209,3.069,3.053,3.028,2.994,3.065,3.159,3.114,3.256,3.253,3.324,3.468,3.487,3.338,3.296999999,3.3,3.271,3.317,3.266,3.257,3.181999999,3.193,3.230999999,3.269000001,3.155,3.24,3.211,3.242,3.195,3.281,3.216,3.287,3.086,3.136,3.155,3.228999999,3.219,3.161,3.228000001,3.182,3.157,3.189,3.129,3.196,3.33,3.42,3.47,3.621999999,3.589,3.606,3.438,3.369,3.366999999,3.394999999,3.355,3.331,3.56,3.457,3.478,3.442,3.404,3.327,3.262,3.327,3.364,3.385,3.396,3.343,3.309,3.399,3.508,3.559000001,3.552000001,3.609999999,3.443999999,3.458,3.51,3.566,3.464,3.496,3.651,3.656999999,3.723,3.798000001,3.784000001,3.883,3.656,3.688000001,3.651999999,3.62,3.622999999,3.554,3.637,3.655,3.605,3.842,3.725,3.744999999,3.597,3.67,3.73,3.620000001,3.589999999,3.581,3.663,3.621,3.639999999,3.588,3.592,3.603,3.497999999,3.570000001,3.63,3.642,3.669,3.643,3.862,4.046,4.213,4.353,4.574,4.773000001,4.697000001,4.16,4.25,4.366000001,4.537000001,4.662,4.77,4.839999999,4.755,4.77,4.818999999,4.586,4.636999999,4.549999999,4.571,4.655000001,4.599999999,4.533,4.385,4.326000001,4.365,4.609,4.692000001,4.660999999,4.639999999,4.639000001,4.722000001,4.830999999,4.909,4.887,5.092000001,5.334,5.494,5.618,5.68,5.708,5.615,5.544000001,5.563000001,5.461,5.552,5.69,6.048,6.105999999,6.008999999,6.068000001,5.953,5.759,5.573999999,5.531,5.589,5.472,5.367,5.211000001,4.94,5.059,5.184,5.409999999,5.734,5.899,5.847,5.733999999,5.656000001,5.394,5.494,5.613,5.552,5.374,5.454000001,5.448,5.481,5.374999999,5.106,5.102,5.180000001,5.333999999,5.745,5.774999999,5.699,5.665,5.819000001,6.241,6.366,6.066,5.708,5.629000001,5.654,5.533
WholeMilk,2.546,2.541,2.539,2.537,2.532,2.599,2.649,2.666,2.666,2.73,2.746000001,2.727,2.677,2.632,2.632,2.606,2.608,2.587,2.557,2.551,2.533,2.635,2.678,2.672,2.632,2.653,2.658,2.668,2.666,2.622,2.628,2.717,2.757,2.785,2.8,2.859,2.94,3.004,3.003,2.707,2.716,2.704,2.706,2.719,2.794,2.964,2.981,2.875,2.785,2.777,2.748,2.773,2.782,2.763,2.781,2.807,2.809,2.805,2.753,2.785,2.852,2.847,2.76,2.845,2.893,2.911,2.932999999,2.89,2.941,2.954,2.890000001,2.895000001,2.812000001,2.807,2.816,2.779,2.782,2.768,2.746999999,2.719999999,2.728,2.727,2.719000001,2.682,2.686,2.689,2.656,2.674,2.685,2.676,2.708,2.666,2.904,2.905,2.937,2.947,2.879,2.814,2.786000001,2.906000001,3.374,3.574,3.479,3.297,3.149,3.161,3.219000001,3.233,3.304,3.176,3.226,3.225,3.207,3.122,3.09,3.136,3.133,3.171,3.211,3.241,3.197,3.224,3.161,3.122999999,3.066,3.001,3.083000001,3.019,3.049,3.064000001,2.985,3.004,3.067,3.083,3.072,3.134999999,3.258999999,3.427000001,3.736,3.807,3.840999999,3.838,3.904,3.87,3.870999999,3.869,3.781000001,3.799,3.760000001,3.773,3.961,3.886,3.773,3.656,3.734,3.681,3.575,3.319000001,3.116,3.084,3.068,3.009,2.992,2.979,2.981,3.046000001,3.034000001,3.105000001,3.236,3.202999999,3.188,3.140000001,3.178,3.297,3.313,3.303,3.278,3.320999999,3.327,3.318000001,3.301,3.356999999,3.502999999,3.596999999,3.653,3.622,3.654,3.713,3.715,3.622,3.557,3.565,3.582999999,3.520000001,3.499,3.474,3.427000001,3.396,3.428,3.473999999,3.469,3.524,3.536,3.579999999,3.526,3.48,3.431,3.428000001,3.441,3.458,3.449,3.448,3.428,3.462000001,3.490999999,3.501,3.552,3.560999999,3.669,3.687,3.735,3.626000001,3.645,3.673,3.732000001,3.766000001,3.858,3.820000001,3.757999999,3.496,3.463,3.397000001,3.387,3.365999999,3.43,3.389,3.391999999,3.337999999,3.299,3.309999999,3.313,3.23,3.187000001,3.154999999,3.157,3.115,3.061999999,3.141,3.229,3.292,3.279999999,3.29,3.318,3.300000001,3.315000001,3.259,3.241999999,3.213,3.218999999,3.167999999,3.208999999,3.158,3.15,3.155,2.961,2.922999999
Cheese,3.107,3.227,3.149,3.182,3.211,3.304,3.228,3.363,3.511,3.499,3.651,3.592,3.536,3.471,3.514,3.534,3.528,3.4,3.342,3.352,3.359,3.419,3.497,3.439,3.539,3.475,3.572,3.535,3.539,3.516,3.636,3.479,3.617,3.63,3.803,3.738,3.814,3.723,3.878,3.748,3.806,3.779,3.736,3.866,3.884,3.858,3.789,3.85,3.843,3.731,3.845,3.747,3.692,3.622,3.628,3.649,3.65,3.64,3.639,3.693,3.674,3.693,3.723,3.738,3.862,3.949,3.928,3.917999999,3.984,4.023,3.970999999,3.994,3.937,3.869000001,3.885,3.93,3.867999999,3.856,3.783,3.895,3.841,3.92,3.941,3.842,3.712999999,3.844,3.814,3.76,3.588999999,3.769,3.687999999,3.815,3.803,3.714,3.905,3.843,3.813,3.937,3.895,3.848,4.052,4.09,4.077,4.112999999,4.03,4.032000001,3.988,3.937,3.876,3.873,3.843,3.84,3.776,3.829,3.895,3.926,3.948,3.903,3.945,3.914999999,3.938,3.886,3.836,3.814,3.701,3.526,3.581,3.654,3.755999999,3.63,3.712,3.605,3.771000001,3.705,3.768999999,3.73,3.738999999,3.628999999,3.756999999,3.971999999,4.051,4.158,3.884,3.905,3.994,4.059,4.008,3.876,3.938,3.929,4.182,4.188,4.089,4.021,4.08,4.141,4.124,4.049,3.885000001,3.776,3.92,3.9,3.881,3.902000001,3.82,3.881,3.838,3.858,3.875,3.943,3.914,3.939,3.912,4.074,3.956000001,3.811,3.864,4.004,3.836,3.797,3.758,3.734,3.827999999,3.890999999,4.052000001,3.922,4.093000001,4.204,4.281,4.360000001,4.367,4.303,4.395999999,4.261999999,4.316,4.252,4.218,4.029999999,4.051999999,4.085,4.127,4.093,4.187999999,4.237,4.258,4.238,4.207,4.131,4.065000001,4.084999999,4.092,4.134999999,4.137,4.087999999,4.317,4.345,4.286,4.285999999,4.46,4.535000001,4.515000001,4.412000001,4.425999999,4.482000001,4.449999999,4.487,4.87,4.713000001,4.943999999,4.597999999,4.558000001,4.542999999,4.417,4.265000001,4.352,4.346,4.439,4.331000001,4.332999999,4.345,4.374000001,4.435999999,4.462,4.434000001,4.325,4.309999999,4.373,4.273,4.396,4.483999999,4.322,4.214,4.322,4.293,4.271,4.352,4.393,4.306,4.282000001,4.241,4.203,4.089000001,4.091,4.130000001,4.015,4.064000001
Eggs,1.155,1.091,1.138,1.086,1.021,0.945,1.042,1.072,1.15,1.129,1.139,1.308,1.148,1.132,1.056,1.081,1.002,0.952,0.979,1.061,1.009,1.018000001,1.09,1.172,1.120000001,1.073,1.043,1.061,0.96,0.932,0.971,1.053,1.022,1.048,1.077,1.089,1.053,1.078,1.005000001,0.942,0.9,0.949,0.88,1.02,0.956,0.888,0.92,0.92,0.975,0.962,0.931,0.939,0.852,0.838,0.868,0.893,0.92,0.923,0.902,0.959,1.011,0.943,0.886,1.028,0.881,0.92,0.862,0.929,0.916,0.916,0.935,0.925,0.973,0.996,1.003,1.047,0.997,0.975000001,0.99,1.053,1.055,1.039,1.079999999,1.176,1.175,1.189,1.209,1.131,1.009,1.199,1.15,1.276999999,1.257,1.33,1.448,1.559,1.573,1.583,1.625,1.562,1.372,1.311,1.253,1.277,1.145000001,1.089,1.085,1.199,1.211,1.284,1.132,1.164,1.185,1.139,1.165,1.166,1.279,1.264,1.279,1.349999999,1.449,1.328,1.302000001,1.283,1.206,1.242,1.213000001,1.244,1.254000001,1.257,1.354,1.543,1.549000001,1.746,1.634,1.616,1.504,1.373000001,1.502,1.634,1.825,1.771000001,1.862,2.099000001,2.175,2.168,2.203,2.068999999,1.93,1.919999999,2.011,1.854,1.978000001,1.858000001,1.838,1.834,1.849999999,1.794999999,1.693,1.774,1.501,1.529,1.495,1.632000001,1.627,1.595,1.705,1.772000001,1.789,1.872,1.822,1.779,1.523,1.494,1.441000001,1.519,1.753,1.456,1.675000001,1.793,1.805999999,1.708,1.732,1.727,1.692,1.683,1.647,1.710999999,1.947,1.871000001,1.836000001,1.874,1.939,1.798000001,1.774,1.828999999,1.691,1.67,1.647999999,1.884000001,1.889,1.96,1.963,2.007,1.933000001,1.964999999,1.925,1.918,1.87,1.858999999,1.832999999,1.838,1.896999999,1.925,1.925000001,2.025999999,2.007999999,1.998,2.061,2.119,1.996,1.948,1.95,1.979,1.97,1.951,2.031999999,2.21,2.113,2.088,2.133,2.065,1.962000001,2.57,2.570000001,2.943,2.965999999,2.808,2.664,2.751000001,2.328,2.267000001,2.081000001,1.793,1.684,1.491000001,1.546,1.454999999,1.471,1.390000001,1.321,1.383,1.599,1.463999999,1.404,1.409000001,1.414000001,1.332000001,1.333,1.367,1.422,1.54,1.506,1.814999999,1.769,1.754999999
Bread,0.86,0.858,0.852,0.865,0.869,0.886,0.889,0.915,0.886,0.873,0.88,0.875,0.862,0.858,0.855,0.855,0.854,0.874,0.872,0.872,0.885,0.899,0.897,0.884,0.855,0.86,0.853,0.863,0.866,0.859,0.867,0.869,0.86,0.849,0.855,0.865999999,0.872,0.88,0.883,0.897,0.886,0.885,0.893,0.884,0.878,0.889,0.899,0.899,0.907000001,0.924,0.924,0.926999999,0.915,0.915,0.935,0.923,0.918,0.934,0.953,0.987,0.982,0.994,1.02,1.008,0.995,0.989,0.987,0.991,0.996,1.01,1.012,1.005,1.001,1.008,1.012,1.005,1.012,1.010999999,1.015,1.012,1.016,1.015,1.054000001,1.026,1.042,1.048,1.042,1.047,1.001,0.961,1.002,0.996,0.994,0.969,0.953,0.954,0.946,0.943,0.947000001,0.974000001,0.960000001,0.979,0.985,0.996,0.985,0.972,0.976,0.970000001,0.997,0.982,1.002,1.004,1.086,1.09,1.067,1.06,1.052,1.043000001,1.055,1.046,1.046,1.029,1.040000001,1.071999999,1.086,1.074000001,1.071,1.087999999,1.083,1.097000001,1.143,1.137000001,1.153,1.167999999,1.161,1.201,1.192,1.193,1.209,1.21,1.212,1.274,1.235,1.28,1.281,1.321,1.35,1.373,1.37,1.373,1.384000001,1.381,1.379,1.392999999,1.377,1.415,1.381,1.404,1.41,1.395,1.413000001,1.384999999,1.391000001,1.375,1.34,1.392000001,1.373,1.389999999,1.360000001,1.361,1.368,1.363000001,1.358999999,1.383,1.36,1.372,1.385999999,1.407000001,1.375,1.386,1.401,1.398000001,1.415,1.42,1.472000001,1.49,1.513,1.474,1.477,1.457,1.399,1.42,1.423,1.442,1.395,1.426000001,1.412,1.403,1.427,1.406999999,1.401,1.422,1.418,1.436,1.422,1.411,1.411999999,1.409,1.400999999,1.439,1.434000001,1.408,1.419,1.357999999,1.382,1.385,1.365,1.388000001,1.359,1.388,1.401,1.4,1.413,1.395999999,1.405,1.414,1.42,1.466000001,1.479,1.435,1.440000001,1.453999999,1.463,1.467,1.447000001,1.42,1.432,1.418000001,1.409,1.428000001,1.425,1.407,1.416,1.406000001,1.382000001,1.332999999,1.349,1.341,1.329000001,1.343,1.361999999,1.362,1.351,1.358,1.329000001,1.328,1.326999999,1.335,1.326999999,1.348,1.348999999,1.327999999,1.295,1.316,1.281,1.265
Macaroni,0.871,0.854,0.863,0.866,0.848,0.887,0.882,0.877,0.884,0.85,0.848,0.845,0.874,0.849,0.872,0.883,0.861,0.863,0.873,0.878,0.88,0.887,0.869,0.883,0.874,0.878,0.875,0.873,0.87,0.895,0.887,0.89,0.877,0.895,0.87,0.877,0.872,0.88,0.883,0.888,0.887,0.882,0.88,0.877,0.882,0.849,0.882000001,0.881,0.881,0.843,0.859,0.866,0.859,0.83,0.858,0.858,0.859,0.877,0.872,0.884,0.899,0.882,0.894,0.889,0.91,0.912000001,0.911,0.931000001,0.925,0.918,0.91,0.909000001,0.912,0.902,0.917,0.927,0.901,0.935,0.925,0.916,0.894,0.923999999,0.935,0.933,0.925,0.956,0.986,0.95,0.956,0.953,0.989,0.897000001,0.87,0.862,0.928,0.92,0.921,0.919,0.92,0.918,0.961,0.969,0.97,0.966,0.974,0.934,0.958,0.948,0.945,0.938,0.959,0.958,0.902999999,0.869,0.84,0.902000001,0.860000001,0.893,0.847,0.87,0.837,0.848,0.884,0.837,0.849,0.837,0.854,0.863,0.878,0.860000001,0.868,0.887,0.856000001,0.895,0.91,0.927999999,0.862000001,0.878,0.893,0.868,0.871,0.849,0.844,0.846,1.017000001,1.104,1.079,1.118,1.101,1.117,1.148,1.139,1.147,1.189,1.147000001,1.134,1.131,1.132999999,1.139,1.122,1.174000001,1.178,1.198,1.226,1.141000001,1.168,1.193,1.169,1.147,1.163,1.145,1.132,1.092,1.117,1.103,1.118,1.147999999,1.153,1.141,1.191,1.208999999,1.116,1.197,1.173,1.231,1.248,1.269,1.279,1.27,1.279000001,1.328000001,1.306,1.317,1.310999999,1.271,1.315999999,1.344000001,1.332000001,1.369,1.361,1.319,1.280999999,1.325999999,1.312000001,1.276,1.348,1.323,1.285999999,1.370999999,1.304000001,1.314,1.296,1.300000001,1.282999999,1.293999999,1.263,1.29,1.265,1.307,1.240999999,1.301,1.267,1.324,1.375000001,1.35,1.266000001,1.244999999,1.164,1.264,1.319,1.392,1.337000001,1.335,1.360000001,1.324999999,1.350999999,1.282,1.297000001,1.266,1.292,1.265,1.309,1.341000001,1.293999999,1.32,1.292,1.320000001,1.292,1.289000001,1.292000001,1.302,1.287000001,1.31,1.289999999,1.265,1.271,1.271999999,1.281,1.294,1.305,1.299,1.259,1.242,1.235000001,1.218,1.176
